device_id,amount_inr,transaction_ref,sms_timestamp,sender,body
97TOTCNN,3.54,"dear customer,your a/c xx9993 debited with rs.3.54 towards bank charges on 11-04-2026.available balance: rs.224.63-pnb",2026-04-11 08:34:25,BT-PNBSMS-S,"Dear Customer,your A/c XX9993 debited with Rs.3.54 towards bank charges on 11-04-2026.Available balance: Rs.224.63-PNB"
97TOTCNN,8.18,"dear customer,your a/c xx4138 debited with rs.8.18 towards bank charges on 11-04-2026.available balance: rs.0.00-pnb",2026-04-11 09:00:11,BG-PNBSMS-S,"Dear Customer,your A/c XX4138 debited with Rs.8.18 towards bank charges on 11-04-2026.Available balance: Rs.0.00-PNB"
97TOTCNN,3.27,"dear customer,your a/c xx3768 debited with rs.3.27 towards bank charges on 11-04-2026.available balance: rs.0.00-pnb",2026-04-11 12:21:21,AX-PNBSMS-S,"Dear Customer,your A/c XX3768 debited with Rs.3.27 towards bank charges on 11-04-2026.Available balance: Rs.0.00-PNB"
9AWFOX8L,3300.00,655083040546,2026-04-10 12:07:03,AD-INDUSB-S,A/C *XX6739 debited by Rs 3300.00 towards armankhan993513@oksbi. RRN:655083040546. Avl Bal:6724.50. Not you? Call 18602677777 - IndusInd bank
9AWFOX8L,2720.00,592045522506,2026-04-10 15:28:24,AD-INDUSB-S,A/C *XX6739 debited by Rs 2720.00 towards abhishekkumarrjk300@okicici. RRN:592045522506. Avl Bal:1004.50. Not you? Call 18602677777 - IndusInd bank
9AWFOX8L,700.00,675919207018,2026-04-10 16:31:53,AX-INDUSB-S,A/C *XX6739 debited by Rs 700.00 towards 9368959417@axl. RRN:675919207018. Avl Bal:304.50. Not you? Call 18602677777 - IndusInd bank
9AWFOX8L,19.00,rs.19.00 debited from airtel payments bank a/c jio recharge for 6398153720. explore bank @ https://i.airtel.in/airbnk/ba,2026-04-10 16:31:53,AD-AIRBNK-S,Rs.19.00 debited from Airtel Payments Bank a/c Jio Recharge for 6398153720. Explore bank @ https://i.airtel.in/AIRBNK/bankhome
9AWFOX8L,349.00,rs.349.00 debited from airtel payments bank a/c jio recharge for 6200339892. explore bank @ https://i.airtel.in/airbnk/b,2026-04-10 17:09:37,AD-AIRBNK-S,Rs.349.00 debited from Airtel Payments Bank a/c Jio Recharge for 6200339892. Explore bank @ https://i.airtel.in/AIRBNK/bankhome
C2BBB4H9,150.00,rs. 150.00 debited from airtel payments bank a/c txn id 119923389997 bal:2329.01 call 180023400 for help,2026-04-10 14:30:10,AD-AIRBNK-S,Rs. 150.00 debited from Airtel Payments Bank a/c Txn ID 119923389997 Bal:2329.01 Call 180023400 for help
C2BBB4H9,90.00,rs. 90.00 debited from airtel payments bank a/c txn id 998360509569 bal:2239.01 call 180023400 for help,2026-04-10 14:40:24,AD-AIRBNK-S,Rs. 90.00 debited from Airtel Payments Bank a/c Txn ID 998360509569 Bal:2239.01 Call 180023400 for help
C2BBB4H9,150.00,rs. 150.00 debited from airtel payments bank a/c txn id 324430976126 bal:2089.01 call 180023400 for help,2026-04-10 14:46:51,AD-AIRBNK-S,Rs. 150.00 debited from Airtel Payments Bank a/c Txn ID 324430976126 Bal:2089.01 Call 180023400 for help
C2BBB4H9,40.00,rs. 40.00 debited from airtel payments bank a/c txn id 163541571753 bal:2049.01 call 180023400 for help,2026-04-10 19:09:38,AD-AIRBNK-S,Rs. 40.00 debited from Airtel Payments Bank a/c Txn ID 163541571753 Bal:2049.01 Call 180023400 for help
C2BBB4H9,6.00,rs. 6.00 debited from airtel payments bank a/c txn id 812151463634 bal:2043.01 call 180023400 for help,2026-04-10 19:14:36,AD-AIRBNK-S,Rs. 6.00 debited from Airtel Payments Bank a/c Txn ID 812151463634 Bal:2043.01 Call 180023400 for help
C2BBB4H9,30.00,rs. 30.00 debited from airtel payments bank a/c txn id 970657525455 bal:2013.01 call 180023400 for help,2026-04-10 19:15:12,AD-AIRBNK-S,Rs. 30.00 debited from Airtel Payments Bank a/c Txn ID 970657525455 Bal:2013.01 Call 180023400 for help
C2BBB4H9,15.00,rs. 15.00 debited from airtel payments bank a/c txn id 858882360205 bal:1998.01 call 180023400 for help,2026-04-10 19:17:29,AD-AIRBNK-S,Rs. 15.00 debited from Airtel Payments Bank a/c Txn ID 858882360205 Bal:1998.01 Call 180023400 for help
C2BBB4H9,39.00,rs. 39.00 debited from airtel payments bank a/c txn id 286137430481 bal:1959.01 call 180023400 for help,2026-04-10 21:20:05,AD-AIRBNK-S,Rs. 39.00 debited from Airtel Payments Bank a/c Txn ID 286137430481 Bal:1959.01 Call 180023400 for help
C2BBB4H9,64.00,rs. 64.00 debited from airtel payments bank a/c txn id 590958923921 bal:6695.01 call 180023400 for help,2026-04-11 10:30:10,AD-AIRBNK-S,Rs. 64.00 debited from Airtel Payments Bank a/c Txn ID 590958923921 Bal:6695.01 Call 180023400 for help
IGD2JCDX,28.38,boi upi - your upcoming mandate is set for 12/04/2026 your account will be debited with rs.28.38 towards moneyviewgold f,2026-04-11 04:20:35,JD-BOIIND-S,BOI UPI - Your upcoming Mandate is set for 12/04/2026 Your account will be debited with Rs.28.38 towards MONEYVIEWGOLD for the 4a661f8ca5409453e0634bcee1
IGD2JCDX,8.53,boi upi - your upcoming mandate is set for 12/04/2026 your account will be debited with rs.8.53 towards moneyviewgold fo,2026-04-11 08:09:18,JK-BOIIND-S,BOI UPI - Your upcoming Mandate is set for 12/04/2026 Your account will be debited with Rs.8.53 towards MONEYVIEWGOLD for the 4cd184d01ff19d78e063eaeee20
